NewQuestion,MC,
QuestionText,"What is the primary purpose of dimensionality reduction in machine learning?",
Option,100,"PCA keeps all components, producing the same number of dimensions as the original dataset",
Option,0,"PCA keeps only the components that explain more than 10% of variance individually",
Option,0,"PCA automatically selects the number of components needed to explain 95% of variance",

NewQuestion,MC,
QuestionText,"A student wants to retain at least 80% of the variance in the Wine dataset. Based on the Week 12 demo results, what is the minimum number of components they should use?",
Option,100,"5 components (81.1% variance)",
Option,0,"2 components (55.0% variance)",
Option,0,"3 components (66.9% variance)",
Option,0,"8 components (92.0% variance)",

NewQuestion,MC,
QuestionText,"In the Week 12 demo, kNN accuracy on 2 PCA components was 0.978, which was higher than the baseline accuracy of 0.956 on all 13 scaled features. What explains this result?",
Option,0,"PCA selects only the most predictive features and discards the least predictive ones",
Option,0,"Using fewer dimensions always improves kNN accuracy because it reduces computation time",
Option,100,"The discarded components captured mostly noise, and removing them made distance calculations more reliable",
Option,0,"PCA reorders the features so that the most important ones are weighted more heavily by kNN",

NewQuestion,MC,
QuestionText,"PCA is described as an unsupervised method. What does this mean in practice?",
Option,0,"PCA can only be used with unsupervised learning algorithms like clustering",
Option,100,"PCA.fit takes only X_train and does not use y_train, finding structure in the feature data without class labels",
Option,0,"PCA produces components that have no relationship to the target variable",
Option,0,"PCA does not use the train/test split and is applied to the full dataset",

NewQuestion,MC,
QuestionText,"How does PCA for visualization differ from PCA as preprocessing for a supervised model?",
Option,0,"PCA for visualization uses a different algorithm than PCA for preprocessing",
Option,0,"PCA for visualization fits on the test set while PCA for preprocessing fits on the training set",
Option,0,"PCA for visualization does not follow the fit-on-training rule because no model is being trained",
Option,100,"PCA for visualization reduces to 2 components to create a scatter plot, while PCA for preprocessing reduces to a chosen number of components before training a model",

NewQuestion,MC,
QuestionText,"What problem does NMF (Non-negative Matrix Factorization) solve that makes it an alternative to PCA in some situations?",
Option,0,"NMF can transform new data after fitting while PCA cannot",
Option,0,"NMF captures more variance per component than PCA on the same dataset",
Option,100,"NMF requires all feature values to be non-negative, making it appropriate for data where negative values have no meaning",
Option,0,"NMF does not require scaling before application while PCA does",

NewQuestion,MC,
QuestionText,"What is the key difference between t-SNE and PCA as dimensionality reduction methods?",
Option,100,"t-SNE cannot transform new data after fitting and is used only for visualization, while PCA can transform new data using the components learned from training",
Option,0,"t-SNE finds directions of maximum variance while PCA finds directions of minimum variance",
Option,0,"t-SNE requires scaled data while PCA does not",
Option,0,"t-SNE produces more principal components than PCA on the same dataset",

NewQuestion,M,
QuestionText,"Match each term with its correct description.",
Choice,1,"Principal component",
Match,1,"A new direction in feature space that captures maximum variance in the data",
Choice,2,"explained_variance_ratio_",
Match,2,"An array storing the fraction of total variance captured by each component",
Choice,3,"n_components",
Match,3,"The parameter that controls how many components are retained after transformation",

NewQuestion,M,
QuestionText,"Match each PCA-related concept with what it produces or describes.",
Choice,1,"PCA with n_components=2 on the Wine dataset",
Match,1,"Transforms 13 features into 2 new columns representing coordinates along the top two variance directions",
Choice,2,"Cumulative explained variance at 5 components",
Match,2,"The total fraction of dataset variance captured by the first 5 principal components combined",
Choice,3,"PCA fit on test data separately from training data",
Match,3,"A violation of the fit-on-training rule that compromises the integrity of the evaluation",

NewQuestion,MS,
QuestionText,"Which of the following statements about PCA are true? (Select all that apply)",
Option,1,"PCA must be fit on training data only and the same components used to transform both sets",
Option,1,"PCA finds directions of maximum variance in the feature data",
Option,1,"Scaling is required before applying PCA to ensure all features contribute proportionally",
Option,0,"PCA uses the target labels y to find components that best separate the classes",

NewQuestion,MS,
QuestionText,"Which of the following are true about explained_variance_ratio_ after fitting PCA? (Select all that apply)",
Option,1,"It contains one value per component showing what fraction of total variance that component captures",
Option,1,"The sum of all values in explained_variance_ratio_ equals 1.0 when all components are retained",
Option,1,"The first component always has the largest explained variance ratio",
Option,0,"Multiplying explained_variance_ratio_ by 100 gives the number of features each component represents",

NewQuestion,MS,
QuestionText,"Which of the following correctly describe the relationship between PCA and the fit-on-training rule? (Select all that apply)",
Option,1,"The PCA object must be fit on X_train only, never on X_test or the full dataset",
Option,1,"The same components learned from training are applied when transforming the test set",
Option,1,"Fitting PCA on the full dataset before splitting leaks test information into training",
Option,0,"The fit-on-training rule does not apply to PCA because it is an unsupervised method",

NewQuestion,MS,
QuestionText,"Which of the following statements about t-SNE are true? (Select all that apply)",
Option,1,"t-SNE is designed specifically for visualization and reduces data to 2 or 3 dimensions",
Option,1,"t-SNE cannot be used to transform new data after fitting",
Option,0,"t-SNE follows the same fit/transform workflow as PCA and can be used as preprocessing before a supervised model",
Option,0,"t-SNE requires scaling before application for the same reason PCA does",
NewQuestion,MC,
QuestionText,"What does the inverse_transform method on a PCA object do?",
Option,0,"It refits the PCA model using the test data instead of the training data",
Option,100,"It rotates PCA-reduced data back into the original feature space",
Option,0,"It reverses the scaling applied before PCA by undoing StandardScaler",
Option,0,"It removes the principal components that explain the least variance",
