NewQuestion,MC,
QuestionText,"What is preprocessing in the context of machine learning?",
Choice,2,"MinMaxScaler",
Match,2,"Minimum and maximum value of each feature",
Choice,3,"RobustScaler",
Match,3,"Median and interquartile range of each feature",

NewQuestion,M,
QuestionText,"Match each step in the scaler workflow with its description.",
Choice,1,"Create the scaler",
Match,1,"Instantiate the scaler object with no data passed",
Choice,2,"Fit the scaler",
Match,2,"Compute statistics from the training data only",
Choice,3,"Transform the data",
Match,3,"Apply the learned statistics to rescale feature values",

NewQuestion,MS,
QuestionText,"Which of the following statements about preprocessing are true? (Select all that apply)",
Option,1,"Preprocessing only looks at the feature data X, not the target labels y",
Option,1,"Preprocessing is applied before the supervised model is trained",
Option,1,"Preprocessing does not teach the model anything about the target",
Option,0,"Preprocessing is a learning step that adjusts model weights",

NewQuestion,MS,
QuestionText,"Which of the following algorithms benefit from feature scaling? (Select all that apply)",
Option,1,"k-Nearest Neighbors",
Option,1,"Support Vector Machine",
Option,1,"Logistic Regression",
Option,0,"Random Forest",

NewQuestion,MS,
QuestionText,"Which of the following describe what goes wrong when a scaler is fit on the full dataset before splitting? (Select all that apply)",
Option,1,"The scaler's statistics are influenced by the test data",
Option,1,"The accuracy estimate on the test set will be overly optimistic",
Option,0,"The scaler will fail to compute valid statistics",
Option,0,"The training set will be transformed to a different scale than the test set",

NewQuestion,MS,
QuestionText,"Which of the following statements correctly distinguish StandardScaler from MinMaxScaler? (Select all that apply)",
Option,1,"StandardScaler centers features at mean 0 with standard deviation 1",
Option,1,"MinMaxScaler guarantees transformed training values fall between 0 and 1",
Option,1,"StandardScaler computes mean and standard deviation during fit while MinMaxScaler computes minimum and maximum",
Option,0,"MinMaxScaler is always preferred over StandardScaler for distance-based algorithms",

